,neuronas,dropout,lr,opt,rmse,r2
84,"(32, 32, 64)",0.2,0.01,Adam,0.12315548211336136,0.7273308038711548
36,"(16, 32, 32)",0.2,0.01,Adam,0.12317029386758804,0.7272652387619019
108,"(64, 64, 64)",0.2,0.01,Adam,0.12326762825250626,0.7268339395523071
16,"(16, 16, 32)",0.2,0.001,Adam,0.12332994490861893,0.726557731628418
88,"(32, 32, 64)",0.2,0.001,Adam,0.12354002892971039,0.7256253361701965
114,"(64, 64, 64)",0.3,0.001,Adam,0.12372030317783356,0.7248239517211914
62,"(16, 64, 64)",0.3,0.01,Adam,0.12401154637336731,0.7235268950462341
60,"(16, 64, 64)",0.2,0.01,Adam,0.12408565729856491,0.7231963872909546
66,"(16, 64, 64)",0.3,0.001,Adam,0.12409113347530365,0.7231719493865967
100,"(32, 64, 64)",0.2,0.001,Adam,0.12410970777273178,0.7230890393257141
72,"(32, 32, 32)",0.2,0.01,Adam,0.12421929091215134,0.7225998640060425
30,"(16, 16, 64)",0.3,0.001,Adam,0.12430141866207123,0.7222329378128052
12,"(16, 16, 32)",0.2,0.01,Adam,0.12438642978668213,0.7218528389930725
86,"(32, 32, 64)",0.3,0.01,Adam,0.1244630366563797,0.7215101718902588
98,"(32, 64, 64)",0.3,0.01,Adam,0.12453167885541916,0.7212028503417969
0,"(16, 16, 16)",0.2,0.01,Adam,0.12453998625278473,0.721165657043457
18,"(16, 16, 32)",0.3,0.001,Adam,0.12454808503389359,0.7211294174194336
38,"(16, 32, 32)",0.3,0.01,Adam,0.12460172176361084,0.720889151096344
28,"(16, 16, 64)",0.2,0.001,Adam,0.12460239231586456,0.7208861112594604
110,"(64, 64, 64)",0.3,0.01,Adam,0.12460692971944809,0.7208658456802368
24,"(16, 16, 64)",0.2,0.01,Adam,0.1246207132935524,0.7208040952682495
112,"(64, 64, 64)",0.2,0.001,Adam,0.12464623898267746,0.7206896543502808
52,"(16, 32, 64)",0.2,0.001,Adam,0.1247156485915184,0.7203785181045532
40,"(16, 32, 32)",0.2,0.001,Adam,0.1247241199016571,0.7203405499458313
90,"(32, 32, 64)",0.3,0.001,Adam,0.12477234750986099,0.7201242446899414
26,"(16, 16, 64)",0.3,0.01,Adam,0.12489072978496552,0.7195928692817688
96,"(32, 64, 64)",0.2,0.01,Adam,0.12494829297065735,0.7193343639373779
48,"(16, 32, 64)",0.2,0.01,Adam,0.12496820092201233,0.7192448973655701
4,"(16, 16, 16)",0.2,0.001,Adam,0.125044047832489,0.7189040184020996
58,"(16, 32, 64)",0.3,0.0001,Adam,0.12515825033187866,0.7183903455734253
